FID,Contrato,Area_Km2,Nombre,Operador,Cuenca,Compañía de Servicios,Fecha de adquisición,XMIN,XMAX,YMIN,YMAX,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
1,LLA-23,118.16482775,LLANOS23 ESTE 3D-2014,CANACOL ENERGY COLOMBIA S.A.,LLANOS ORIENTALES,SAEXPLORATION,1/1/2015 12:00:00 AM,-72.00647361,-71.87469227,5.12039176,5.2819331,0.00962488819141,0.489765445767,119764486.362305,54657.3584829808
2,CASANARE_ESTE,31.26448288,CASANARE E 3D-2005,PETROMINERALES COLOMBIA CORP. SUCURSAL COLOMBIA,LLANOS ORIENTALES,GRANT GEOPHYSCIAL INC,1/1/1900 12:00:00 AM,-71.78888811,-71.72811311,5.25184406,5.32394606,0.002546343482,0.211640571484,31689168.0478516,23617.4792053772
3,TAYRONA,3589.64200348,NAZARETH 3D-2006,PETROBRAS COLOMBIA LIMITED,GUAJIRA OFFSHORE, ,1/1/1900 12:00:00 AM,-73.91489271,-73.3809139,11.4048494,12.14017379,0.297665811732,2.34981673695,3767424981.83984,264842.56659303
4,LA_CRECIENTE,78.96281874,LA CRECIENTE SUR 3D-2010,FRONTERA ENERGY COLOMBIA CORP. SUCURSAL COLOMBIA,VALLE INFERIOR DEL MAGDALENA,GEOFISICA SISTEMAS Y SOLUCIONES S A GSS EN LIQUIDACION JUDICIAL - GSS S A,1/1/1900 12:00:00 AM,-75.09704368,-74.98426919,9.25624549,9.36517438,0.0064965786752,0.322873228087,81580591.2841797,36174.8952884631
5,VMM-03,16.49958566,VMM3 SUR 3D-2011,SHELL EXPLORATION AND PRODUCTION COLOMBIA GMBH,VALLE MEDIO DEL MAGDALENA,SAE EXPLORATION S.A.S.,1/1/1900 12:00:00 AM,-73.67598195,-73.62947031,7.86554934,7.90912421,0.00135282465657,0.137313101414,16924367.4555664,15357.4860253098
6,ARRENDAJO,25.96181968,MIRLANEGRA 3D-2008,FRONTERA ENERGY COLOMBIA CORP. SUCURSAL COLOMBIA,LLANOS ORIENTALES,GRANT GEOPHYSCIAL INC,1/1/1900 12:00:00 AM,-71.1213429,-71.09121711,5.50745525,5.57930013,0.00211312791848,0.203674047892,26308960.2973633,22747.9726766314
7,JAGUEYES_3432-B,34.04977212,HELICONIA 3D-2014,TABASCO OIL COMPANY LLC,LLANOS ORIENTALES,VECTOR GEOPHYSICAL SAS,1/1/1900 12:00:00 AM,-71.13047018,-71.06538136,5.96322471,6.00759007,0.00277352564924,0.218436736964,34557970.7910156,24370.1398904399
8,RUMIYACO,94.28337818,RUMIYACO 3D-2010,"GRAN TIERRA ENERGY COLOMBIA, LLC SUCURSAL",CAGUAN-PUTUMAYO,SATELITE SISMICA & SERVICIOS LTDA,1/1/1900 12:00:00 AM,-77.11588527,-77.01180993,0.39768087,0.51608549,0.00763891089065,0.378836177793,94664698.4192505,42172.5329108133
9,LEONA,21.53701969,LEONA A 3D-2006,NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIANA,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-71.23623011,-71.19230811,5.63971806,5.69070006,0.001753672389,0.168345352293,21838223.4541016,18790.4964977114
10,CANAGUARO,47.43757789,CANAGUARO 3D-2008,FRONTERA ENERGY COLOMBIA CORP. SUCURSAL COLOMBIA,LLANOS ORIENTALES,CGL COMPANIA GEOFISICA LATINOAMERICANA S.A,1/1/1900 12:00:00 AM,-72.74527186,-72.66757248,4.72646718,4.82232551,0.00386468271946,0.261821914885,48057840.0695801,29205.8330002795
11,LLA-02,31.91814782,CHICUACO 3D-2006,COMPETROL LIMITADA,LLANOS ORIENTALES,CGL COMPANIA GEOFISICA LATINOAMERICANA S.A,1/1/1900 12:00:00 AM,-71.58800221,-71.51007171,4.38942526,4.47134476,0.00259555747075,0.226389703568,32260623.9355469,25241.2595699412
12,VMM-12,53.37457173,VMM12 3D-2012,INGENIERIA CONSTRUCCIONES Y EQUIPOS CONEQUIPOS ING S.A.S.,VALLE MEDIO DEL MAGDALENA,ARKION ENERGY SAS,1/1/1900 12:00:00 AM,-74.72177738,-74.64544603,5.80344223,5.89536002,0.00435784385515,0.310988875268,54284963.2929688,34713.4849969524
